author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Bethany Aram,"['Aram, Bethany.']",['Juana the mad : sovereignty and dynasty in renaissance Europe /'],[2005.0],"['Baltimore, Md. ; London : Johns Hopkins University Press,']",['eng'],['Queens'],"['From Isabel ""the Catholic"" to Juana ""the Mad"": an infanta\'s education and inheritance -- Competing court cultures and the French menace, 1496-1502 -- Renaissance passions & Juana\'s madness : ""by love...or by fear"" -- Forging a legend : the triumph of Fernando\'s paternal authority -- Promoting family interests : the Denias and the Habsburgs -- The politics of possession & salvation.']",2005.0,2005.0,1,left_only
Roger Crombleholme,"['Crombleholme, Roger.']",['The County Donegal railways companion : a handbook for railway modellers and historians /'],[2005.0],"['Leicester : Midland,']",['eng'],['Narrow gauge railroads'],['Map printed on inside front cover.'],2005.0,2005.0,1,left_only
Edgar F. Harden,"['Harden, Edgar F.']","[""The snobs of England ; and, Punch's prize novelists /""]",[2005.0],"['Ann Arbor : University of Michigan Press,']",['eng'],['Fiction'],['Includes bibliographical references.'],2005.0,2005.0,1,left_only
Eric Downing,"['Downing, Eric.']","['German literature of the nineteenth century, 1832-1899 /']",[2005.0],"['Rochester, N.Y. : Camden House,']",['eng'],['German literature'],"['The afterlife of romanticism / Andrew Webber -- Parallels and disparities: German literature in the context of European culture / Lilian Furst -- Revolution and reaction: the political context of Central European literature / Arne Koch -- Literary controversy: naming and framing the post-romantic, pre-realist period / Robert C. Holub -- Poetic realism, naturalism, and the rise of the novella / Gail Finney -- Literary movements of the 1890s: symbolism, Impressionism, and fin-de-siècle Austria / Ernst Grabovszki -- The absence of drama in nineteenth-century Germany / Benjamin Bennett -- The nineteenth-century German novel / Jeffrey L. Sammons -- Between sentimentality and phantasmagoria: German lyric poetry, 1830-1890 / Thomas Pfau -- Richard Wagner: opera and music-drama / Christopher Morris -- Navigating the nineteenth century: a critical bibliography / John Pizer -- List of primary sources / compiled by Thomas Spencer.']",2005.0,2005.0,1,left_only
Vic Parker,"['Parker, Vic.']","['Ghost stories : [tales of horror, mystery and the supernatural] /']",[2005.0],"['Great Bardfield : Bardfield Press,']",['eng'],[nan],"['Short horror stories by authors such as Edgar Allan Poe, Washington Irving and Bram Stoker.']",2005.0,2005.0,1,left_only
Bard E. ONeill,"[""O'Neill, Bard E.""]",['Insurgency & terrorism : from revolution to apocalypse /'],[2005.0],"['Washington, D.C. : Potomac Books,']",['eng'],"['Military history, Modern']",['Includes bibliographical references and index.'],2005.0,2005.0,1,left_only
Ian Dougherty,"['Dougherty, Ian.']","['Books and boots : the story of New Zealand publisher, writer and long distance walker Alfred Hamish Reed /']",[2005.0],"['Dunedin : University of Otago Press,']",['eng'],['Publishers and publishing'],['Includes bibliographical references (p. [233]-241) and index.'],2005.0,2005.0,1,left_only
Hugh Nissenson,"['Nissenson, Hugh.']",['The days of awe : a novel /'],[2005.0],"['Naperville, Ill. : Sourcebooks,']",['eng'],['Jewish men'],[nan],2005.0,2005.0,1,left_only
Loughborough UniversityLibrary  Information Statistics Unit,['Loughborough University.Library & Information Statistics Unit.'],"[""Who else writes like--? : a readers' guide to fiction authors /""]",[2005.0],"['Loughborough : LISU,']",['eng'],['Literary prizes'],[nan],2005.0,2005.0,1,left_only
Local Authority Building Control,"['Local Authority Building Control.', 'Local Authority Building Control.', 'Local Authority Building Control.']","['Suffolk building control handbook /', 'Your building project information folder /', 'North Tyneside planning & building control handbook.']","[2005.0, 2011.0, 2006.0]","['Macclesfield : McMillan-Scott PLC,', 'Macclesfield : Ten Alps Pub.,', 'Macclesfield : McMillan-Scott PLC,']","['eng', 'eng', 'eng']","['Planning', nan, nan]","[nan, '""SW Herts Building Control.""', 'Cover title.']",2005.0,2011.0,3,left_only
Lloyd P. Gerson,"['Gerson, Lloyd P.']",['Aristotle and other Platonists /'],[2005.0],"['Ithaca ; London : Cornell University Press,']",['eng'],['Platonists.'],"[""What is Platonism? -- The exoteric writings and the early Aristotle -- The categories of reality -- Nature and its principles -- Psychology : souls and intellects -- Aristotle's Metaphysics -- Aristotle and the forms -- Aristotle's Ethics -- Aristotle : Platonist malgré lui?""]",2005.0,2005.0,1,left_only
Barbara Godard,"['Godard, Barbara.']",['Re:generations : Canadian women poets in conversation /'],[2005.0],"['Windsor, Ont. : Black Moss Press']",['eng'],['Canadian literature'],[nan],2005.0,2005.0,1,left_only
W. H. Mallock,"['Mallock, W. H.(William Hurrell),1849-1923.Human document.']",['A humument : a treated Victorian novel /'],[2005.0],"['New York, N.Y. : Thames & Hudson,']",['eng'],"[""Artists' books""]",['Includes bibliographical references.'],2005.0,2005.0,1,left_only
Kevin Major,"['Major, Kevin,1949-']","[""No man's land : a play /""]",[2005.0],"[""St John's, NL : Pennywell,""]",['eng'],"['Beaumont Hamel, Battle of, France, 1916']","[""Adaptation of author's novel of same title.""]",2005.0,2005.0,1,left_only
Joseph A. Hill,"['Hill, Joseph A.(Joseph Allen),1924-']",['Suffering : understanding the love of God : selections from the writings of John Calvin /'],[2005.0],"['Darlington : Evangelical Press,']",['eng'],['Suffering'],[nan],2005.0,2005.0,1,left_only
Barry Taylor,"['Taylor, Barry,1948-Eeeks and the Glawkoid party.']",['Three modern novels [electronic resource] /'],[2005.0],"['Ilford : Maypole Editions,']",['eng'],[nan],['System requirements: IBM compatible PC; Microsoft Word.'],2005.0,2005.0,1,left_only
Alec Finlay,"['Finlay, Alec.']","['Shared writing : renga days : an anthology of nijuuin and hyakuin renga and renga days on the renga platform, 2002-2004 /']",[2005.0],"['Edinburgh : Platform Projects,']",['eng'],[nan],['Includes bibliographical references and index.'],2005.0,2005.0,1,left_only
Timothy Noah,"['Noah, Timothy.']","['The woman at the Washington Zoo : writings on politics, family, and fate /']",[2005.0],"['New York : Public Affairs,']",['eng'],['Women journalists'],['Includes index.'],2005.0,2005.0,1,left_only
Christopher Routledge,"['Routledge, Christopher,1968-']",['Key thinkers in linguistics and the philosophy of language /'],[2005.0],"['Edinburgh : Edinburgh University Press,']",['eng'],['Linguistics.'],['Includes bibliographical references and index.'],2005.0,2005.0,1,left_only
Nigel Bowles,"['Bowles, Nigel.']","[""Nixon's business : authority and power in presidential politics /""]",[2005.0],"['College Station : Texas A&M University Press,']",['eng'],['Executive power'],['Includes bibliographical references (p. [289]-294) and index.'],2005.0,2005.0,1,left_only
Chidi Ikonne,"['Ikonné, Chidi,1940-']",['Links and bridges : a comparative study of the writings of the New Negro and Negritude movements /'],[2005.0],"['Ibadan : University Press,']",['eng'],['American literature'],['Includes bibliographical references and index.'],2005.0,2005.0,1,left_only
NHS Business Services Authority,['NHS Business Services Authority.'],['Financial help for health care students /'],[2006.0],"['[England] : NHS,']",['eng'],[nan],['Cover title.'],2006.0,2006.0,1,left_only
Mary Munter,"['Munter, Mary.']",['Guide to managerial communication : effective business writing and speaking /'],[2006.0],"['Upper Saddle River, NJ : Pearson/Prentice Hall,']",['eng'],['Communication in management.'],['Includes bibliographical references and index.'],2006.0,2006.0,1,left_only
Alan Young,"['Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-author.', 'Young, Alan,1947 November 29-']","['Notes made on the way to somewhere /', 'Change /', 'Midnight light /', 'Notes along the way.', 'Notes along the way 32 /', 'Just words /']","[nan, 2007.0, 2006.0, nan, nan, 2012.0]","[nan, 'Aberdeen : Elizabeth Simon,', 'Aberdeen : Alexander Stuart Publications,', nan, nan, 'Aberdeen : Elizabeth Simon Press,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan]","['Title from cover.', 'Title from cover.', nan, 'Title from cover.', 'Library copy has a letter from the author dated 11 August 2020 loosely inserted.', nan]",2006.0,2012.0,6,left_only
Ruby Dee,"['Dee, Ruby.']",['Life lit by some large vision : selected speeches and writings /'],[2006.0],"['New York ; London : Atria Books,']",['eng'],['African Americans.'],[nan],2006.0,2006.0,1,left_only
Martin A. Volker,"['Völker, Martin A.']","['""Gebunden sind die Flugel der Gedanken"" Louise Brachmann (1777-1822) : supplement to An encyclopedia of German women writers /']",[2006.0],"['Lewiston, N.Y. ; Lampeter : Edwin Mellen Press,']",['eng'],[nan],[nan],2006.0,2006.0,1,left_only
Derek T. OHagan,"[""O'Hagan, Derek T.""]",['Immunopotentiators in modern vaccines /'],[2006.0],"['Amsterdam ; London : Elsevier Academic Press,']",['eng'],['Vaccines.'],['Mucosal adjuvants based on cholera toxin and E. coli heat-labile enterotoxin / Jan Holmgren ... [et al.] -- Transcutaneous immunization using the heat-labile enterotoxin of E. coli as an adjuvant / Richard T. Kenney and Gregory M. Glenn -- T cell adjuvants and novel strategies for their identification / Laurence Van Overvelt and Philippe Moingeon -- Vaccination to treat noninfectious diseases: surveying the opportunities / Stephen W. Martin and Martin F. Bachmann -- Clinical evaluation of adjuvants / Jakub K. Simon and Robert Edelman -- Regulatory considerations in the nonclinical safety assessment of adjuvanted preventive vaccines / Elizabeth M. Sutkowski and Marion F. Gruber.'],2006.0,2006.0,1,left_only
Rob Neufeld,"['Neufeld, Rob.']","['The making of a writer : journals, 1961-1963 /']",[2006.0],"['New York : Random House,']",['eng'],['Fiction'],['Includes bibliographical references and index.'],2006.0,2006.0,1,left_only
Lucretia B. Yaghjian,"['Yaghjian, Lucretia B.']",['Writing theology well : a rhetoric for theological and biblical writers /'],[2006.0],"['New York ; London : Continuum,']",['eng'],['Theology.'],['Includes bibliographical references (p. 305-347) and index.'],2006.0,2006.0,1,left_only
John Eaton,"['Eaton, John,Ph. D.']","['ME, kronisk utmattelsessyndrom og fibromyalgi : reverse therapy prosessen /']",[2006.0],"['Sandy Authors OnLine,']",['nor'],['Mind and body.'],['Includes bibliographical references.'],2006.0,2006.0,1,left_only
Philip Kerr,"['Kerr, Philip.']",['The one from the other : a Bernie Gunther novel /'],[2006.0],"[""New York : G.P. Putnam's Sons,""]",['eng'],['International relations'],"['""A Marian Wood book.""']",2006.0,2006.0,1,left_only
Angela Fairbrace,"['Fairbrace, Angela.', 'Fairbrace, Angela.', 'Fairbrace, Angela.', 'Fairbrace, Angela.', 'Fairbrace, Angela.']","['My first acrostic : little poets /', 'Mini marvels.', 'Little laureates.', 'Mini sagas 2009.', 'Playground poets.']","[2009.0, 2010.0, 2007.0, 2009.0, 2006.0]","['Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Young Writers,']","['eng', 'eng', 'eng', 'eng', 'eng']","['School verse, English.', ""Children's writings, English"", 'School verse, English', ""Children's writings, English"", nan]","[nan, nan, nan, nan, nan]",2006.0,2010.0,5,left_only
Joel Saltzman,"['Saltzman, Joel.']","[""Shake that brain! : how to create winning solutions (and have fun while you're at it) /""]",[2006.0],"['Hoboken, N.J. : John Wiley,']",['eng'],['Industrial management.'],"['Be daring -- Be prepared -- Be optimistic -- Learn that mistakes are great -- Have fun with it -- Keep from feeling like a nincompoop -- Question your assumptions -- Ask good questions -- Take an \'opposites\' approach -- Never take no for an answer -- Look for elegant solutions -- Try some empathy -- Look for the worst solution possible -- Turn your negatives into positives -- Ask yourself, ""What can I imitate?"" -- Ask yourself, what would (blank) do? -- Ask strangers for help -- Never take yes for an answer -- Write it down! -- Walk away from it -- Sell it to you -- Sell it to others -- Build it -- Demonstrate its value with P.O.P. -- Get support for it -- Call it something catchy -- Be persistent -- Keep having fun with it.']",2006.0,2006.0,1,left_only
John Earl Bassett,"['Bassett, John Earl,1942-']",['Sherwood Anderson : an American career /'],[2006.0],"['Selinsgrove, Pa. : Susquehanna University Press,']",['eng'],"['Anderson, Sherwood, 1876-1941']",['An Ohio Pagan -- A new profession -- Literary success -- The short stories -- Novels of midlife crisis -- The nonfiction --Autobiographies -- Final novels.'],2006.0,2006.0,1,left_only
George Philp,"['Philp, George.']",['Confessions of an occasional poet /'],[2006.0],"['Kirkcaldy : Akros,']",['sco'],"['Philp, George']",['Includes 6 poems dedicated to George Philp.'],2006.0,2006.0,1,left_only
George Ritzer,"['Ritzer, George.']",['McDonaldization : the reader /'],[2006.0],"['Thousand Oaks, Calif. : Pine Forge Press,']",['eng'],['Standardization'],"[""McDonaldization: basics, studies, applications, and extensions -- An introduction to McDonaldization / George Ritzer -- Precursors : bureaucracy and Max Weber's theory of rationality, irrationality, and the iron cage / George Ritzer -- Islands of the living dead: the social geography of McDonaldization / George Ritzer -- On mass distribution : a case study of chain stores in the restaurant industry / Joel I. Nelson -- A sociology of rib joints / P.D. Holley and D.E. Wright, Jr. -- McDonald's as a Disneyized institution / Alan Bryman -- Urgent dreams : climbing, rationalization, and ambivalence / Ian Heywood -- A conversation with Eric Schlosser, author of Fast food nation -- The real price of a Big Mac : filmmaker Morgan Spurlock discusses life as a human guinea pig / Biran Braiker -- McDonaldization : the major criticisms / Bryan S. Turner -- The McDonaldization of social structures and institutions -- McDonaldization of America's police, courts, and corrections / Mathew B. Robinson -- McDonaldization of the sex industries? the business of sex / Kathryn Hausbeck and Barbara G. Brents -- McDonaldization and the family / Sarah Raley -- What do hamburgers and drug care have in common? : some unorthodox remarks on the McDonaldization and rationality of drug care / Uwe E. Kemmesies -- McMorals revisited: creating irrational characters? / Suzanne S. Hudd -- The McDonaldization of the Internet / Alan Neustadtl and Meyer Kestnbaum -- McJobs: McDonaldization and its relationship to the labor process -- George Ritzer -- McWork in Europe / Tony Royle -- Supersizing farms : the McDonaldization of agriculture / Andrew J. Knight -- From creeds to burgers : religious control, spiritual search, and the future of the world / John Drane -- McCitizens : risk, coolness, and irony in contemporary politics / Bryan S. Turner -- Cathedrals of consumption : rationalization, enchantment, and disenchantment / George Ritzer -- McDonaldization and the global sports store : constructing consumer meanings in a rationalized society / Steven Miles -- Credit cards, fast-food restaurants, and rationalization / George Ritzer -- Cross-cultural analysis, social movements, and social change -- Jihad vs. McWorld / Benjamin R. Barber -- September 11, 2001 : mass murder and its roots in the symbolism of American consumer culture / George Ritzer -- The McLibel trial story / McSpotlight -- Striking the golden arches : French farmers protest McD's globalization / David Morse -- Slow food / Mara Miele and Jonathan Murdock -- The debate over the relationship between McDonaldization and globalization -- Globalization and culture : three paradigms / Jan Nederveen Pieterse -- McDonaldization and the global culture of consumption / Malcolm Waters -- Transnationalism, localization, and fast foods in East Asia / James L. Watson -- The McDonald's mosaic : glocalization and diversity -- Bryan S. Turner -- Domesticating the french fry: McDonald's and consumerism in Moscow / Melissa L. Caldwell -- Global implications of McDonaldization and Disneyization / Alan Bryman -- Glocommodification : how the global consumes the local--McDonald's in Israel / Uri Ram -- Globalization and McDonaldization : does it all amount to-- nothing? / George Ritzer -- Globaloney / Michael Veseth -- Conclusion -- Some thoughts on the future of McDonaldization / George Ritzer.""]",2006.0,2006.0,1,left_only
Langholm Primary School,"['Langholm Primary School (Langholm, Scotland)']","[""Tiger's eye : an anthology of imaginative writing /""]",[2006.0],"['[Scotland]  : CREATE,']",['eng'],[nan],[nan],2006.0,2006.0,1,left_only
GfK NOP Social Research,['GfK NOP Social Research.'],['Local authority omnibus survey : wave 11 /'],[2006.0],"['Leeds : Corporate Document Services,']",['eng'],['Social security'],"['""A report of research carried out by GfK NOP Social Research on behalf of the Department for Work and Pensions""']",2006.0,2006.0,1,left_only
Vasudev Murthy,"['Murthy, Vasudev.']",['Effective proposal writing /'],[2006.0],"['New Delhi : Response Books ; London : Sage,']",['eng'],['Proposal writing in business.'],['1. Introduction -- 2. Preparing the ground -- 3. The proposal writing process -- 4. Organization of a proposal -- 5. Conclusion -- Appendices.'],2006.0,2006.0,1,left_only
Kevin Charles Belmonte,"['Belmonte, Kevin Charles.']","['365 days with Wilberforce : a collection of daily readings from the writings of William Wilberforce - ""the friend of humanity"" /']",[2006.0],"['Leominster : Day One,']",['eng'],['Devotional calendars.'],[nan],2006.0,2006.0,1,left_only
Sue Morgan,"['Morgan, Sue,1957-']",['The feminist history reader /'],[2006.0],"['London ; New York : Routledge,']",['eng'],['Vrouwengeschiedenis (wetenschap)'],"[""Acknowledgements. Introduction : writing feminist history : theoretical debates and critical practices / Sue Morgan -- Part 1. Bringing the female subject into view -- 1. The trouble with 'patriarchy' / Sheila Rowbotham, Sally Alexander and Barbara Taylor -- 2. Feminism and history / Judith M. Bennett -- 3. Golden age to separate spheres? : a review of the categories and chronology of English women's history / Amanda Vickery -- 4. Politics and culture in women's history : a symposium / Ellen Dubois, Mari Jo Buhle, Temma Kaplan, Gerda Lerner, and Carroll Smith-Rosenberg -- 5. Women's history and gender history : aspects of an international debate / Gisela Bock -- 6. History and the challenge of gender history / Penelope J. Corfield, June Purvis, and Amanda Weatherill -- Part 2. Deconstructing the female subject : feminist history and the linguistic turn.-- 7. Gender : a useful category of historical analysis / Joan Wallach Scott -- 8. Does sex have a history? / Denise Riley -- 9. Gender history/women's history : is feminist scholarship losing its critical edge? / Sonya Rose, Kathleen Canning, Anna Clark and Mariana Valverde -- 10. Gender as a postmodern category of paralysis / Joan Hoff, Susan Kingsley Kent and Caroline Ramazanoglu -- 11. Postmodern blackness / bell hooks -- 12. Contingent foundations : feminism and the question of 'postmodernism' / Judith Butler -- Part 3 -- Searching for the subject : lesbian history -- 13. Who hid lesbian history? / Lillian Faderman -- 14. Does it matter if they did it? / Sheila Jeffreys -- 15. Lesbian history : all theory and no facts or all facts and no theory? / Martha Vicinus -- 16. Queer : theorizing politics and history / Donna Penn -- 17. 'Lesbian-like' and the social history of lesbianisms / Judith M. Bennett -- 18. Toward a global history of same-sex sexuality / Leila J. Rupp -- Part 4 -- Centres of difference : decolonising subjects : rethinking boundaries -- 19. Gender & race : the ampersand problem in feminist thought / Elizabeth V. Spelman -- 20. Challenging imperial feminism / Valerie Amos and Pratibha Parmar -- 21. An open letter to Mary Daly / Audre Lorde -- 22. 'What has happened here' : the politics of difference in women's history and feminist politics / Elsa Barkley Brown -- 23. Dead women tell no tales : issues of female subjectivity, subaltern agency and tradition in colonial and postcolonial writings on widow immolation in India / Ania Loomba -- 24. Gender and nation / Mrinalini Sinha-- 25. 'Introduction' to civilising subjects / Catherine Hall -- 26. Rethinking boundaries : feminism and (inter)nationalism in early-twentieth-century India / Sanjam Ahluwalia and Antoinette Burton -- 27. Actions louder than words : the historical task of defining feminist consciousness in colonial West Africa / Cheryl Johnson-Odim -- 28. 'Under western eyes' revisited : feminist solidarity through anticapitalist struggles / Chandra Talpade Mohanty - Afterword -- 29. Feminism's history / Joan W. Scott -- Guide to further reading.""]",2006.0,2006.0,1,left_only
Roxanne Eberle,"['Eberle, Roxanne,1964-']",['Women and Romanticism 1790-1830 /'],[2006.0],"['London : Routledge,']",['eng'],['Women'],"['v. 1. Education and employment in the early Romantic period -- v. 2. Education and employment in the later Romantic period -- v. 3. Poetics, the novel and authorship -- v. 4. The only child, or Portia Bellenden / by Amelia Opie -- v. 5. The golden violet, with its tales of romance and chivalry : and other poems / by Letitia Elizabeth Landon.']",2006.0,2006.0,1,left_only
Neil Nixon,"['Nixon, Neil.']",['Dreams wander on : writings from creative writing day therapy at The Heart of Kent Hospice /'],[2006.0],"['Otford : Amherst,']",['eng'],[nan],['Poems and short stories.'],2006.0,2006.0,1,left_only
Erin Heather McGlothlin,"['McGlothlin, Erin Heather.']",['Second-generation Holocaust literature : legacies of survival and perpetration /'],[2006.0],"['Rochester, N.Y. : Camden House,']",['eng'],"['Children of Nazis, Writings of.']",['Includes bibliographical references (p. [233]-245) and index.'],2006.0,2006.0,1,left_only
Damian Chalmers,"['Chalmers, Damian.']",['European Union law : text and materials /'],[2006.0],"['Cambridge : Cambridge University Press,']",['eng'],['Law'],"[""European integration and the treaty on European Union -- Constitutionalism and the 'failure' of the constitutional treaty -- The EU institutions -- Community law-making -- Sovereignty and federalism : the authority of EU law and its limits -- Fundamental rights -- Judicial relations in the European Union -- Accountability in the European Union -- The enforcement of European law -- Judicial review : the legal accountability of  the community institutions -- The single market -- Economic and monetary union -- Union citizenship -- EU law and non-EU nationals -- Free movement of goods and the economic constitution -- The pursuit of an occupation in another member state -- Free movement of services -- Financial services -- Trade restrictions and public goods -- Discrimination law -- EC competition law : functions and enforcement -- Restrictive practices -- Abuse of a dominant position -- Merger policy -- State regulation and EC competition law.""]",2006.0,2006.0,1,left_only
Allen Wier,"['Wier, Allen,1946-']",['Tehano : a novel /'],[2006.0],"['Dallas, Tex. : Southern Methodist University Press,']",['eng'],[nan],[nan],2006.0,2006.0,1,left_only
Cairngorms National Park Authority,"['Cairngorms National Park Authority.', 'Cairngorms National Park Authority.']","['A draft plan for the future : looking to 2030.', 'Cairngorms National Park : core paths plan draft : consultation April 2008.']","[2006.0, 2008.0]","['Grantown-on-Spey : Cairngorms National Park Authority,', 'Grantown-on-Spey : Cairngorms National Park Authority,']","['eng', 'eng']","['National parks and reserves', 'Right of way']","['Cover title.', 'Includes 28 fold-out maps - scales differ.']",2006.0,2008.0,2,left_only
University of GreenwichDepartment of English and Performance Studies,['University of Greenwich.Department of English and Performance Studies.'],"['Brand (London, England : 2007)']",[2007.0],"['London : Creative Writing Programme, Department of English and Performance Studies, School of Humanities, University of Greenwich,']",['eng'],['Creative writing (Higher education)'],[nan],2007.0,2007.0,1,left_only
Anne Day Dewey,"['Dewey, Anne Day.']",['Beyond Maximus : the construction of public voice in Black Mountain poetry /'],[2007.0],"['Stanford, Calif. : Stanford University Press,']",['eng'],['Politics and literature'],"['History as force field in Pound, Zukofsky, and Olson -- From natural to social place in Olson and Creeley -- Creeley, Duncan, and the uses of abstraction -- Poetic authority and mass audience during the Vietnam War in Duncan and Levertov -- The problem of political poetry and the polarization of the field in Levertov and Dorn.']",2007.0,2007.0,1,left_only
Ilona Leki,"['Leki, Ilona.']",['Undergraduates in a second language : challenges and complexities of academic literacy development /'],[2007.0],"['London : Routledge,']",['eng'],['Report writing'],"[""This is the first book-length study of bilingual, international, and immigrant students in English writing courses that attempts to fully embed their writing experiences within the broader frame of their personal histories, the human context of their development, and the disciplinary contexts of their majors. It addresses the questions: How useful are L2 writing courses for the students who are required to take them? What do the students carry with them from these courses to their other disciplinary courses across the curriculum? What happens to these students after they leave ESL, English, or writing classes? Drawing on data from a 5-year longitudinal study of four university students for whom English was not their strongest/primary language, it captures their literacy experiences throughout their undergraduate careers. The intensive case studies answer some questions and raise others about these students' academic development as it entwined with their social experiences and identity formation and with the ideological context of studying at a U.S. university in the 1990s.--Cover, p. [4].""]",2007.0,2007.0,1,left_only
Ali A. Allawi,"['Allawi, Ali A.,1947-']","['The occupation of Iraq : winning the war, losing the peace /']",[2007.0],"['New Haven [Conn.] ; London : Yale University Press,']",['eng'],"['Iraq War, 2003-']","[""Preface -- Introduction -- The great divides -- The rise of the oppostion -- The build-up to war -- The invasion -- Occupation authorities -- A collapsed state : a ruined economy : a damaged society--  Deepening the rifts in a British society  -- Dismantling the Ba'athist state -- The formation of the governing council and the rise of the insurgency -- The shadow of real power -- The enigma of Ayatollah Sistani --  A constitution in waiting -- The fires of sectarian hatreds -- A Marshall Plan for Iraq -- April 2004 : the turning point -- The interim Iraqi government -- Arabs and Persians -- Showdown at the shrine -- To hold or abort an election -- Corruption and the potemkin state -- Iraqi society on the eve of free elections -- The vote -- Negotiating a constitution  -- Crisis and the Jaafari government --Into uncharted waters.""]",2007.0,2007.0,1,left_only
Klas Ostergren,"['Östergren, Klas,1955-']",['Gentlemen : a novel /'],[2007.0],"['Edinburgh : Canongate,']",['eng'],[nan],['Translated from the Swedish.'],2007.0,2007.0,1,left_only
Carol Schneider Lidz,"['Lidz, Carol Schneider.']",['Dynamic assessment in practice : clinical and educational applications /'],[2007.0],"['Cambridge ; New York : Cambridge University Press,']",['eng'],['Dynamic assessment (Education)'],"['Dynamic assessment: introduction and review -- A model of mental functioning -- General procedural guidelines for conducting an assessment that includes dynamic assessment -- Dynamic assessment in clinical settings -- Dynamic assessment in educational settings -- Applying dynamic assessment with young children -- Applying dynamic assessment with school-age children -- Applying dynamic assessment with adults and seniors -- Writing reports and developing IEPs and service plans with dynamic assessment -- Unresolved issues, conclusions, and recommendations.']",2007.0,2007.0,1,left_only
Robert Havard,"['Havard, Robert.']",['The Spanish eye : painters and poets of Spain /'],[2007.0],"['Woodbridge : Tamesis,']",['eng'],['Reality in literature.'],['Includes bibliographical references (p. [137]-144) and index.'],2007.0,2007.0,1,left_only
Childrens writing editor Richardson,"[""Richardson, Mark(Children's writing editor)"", ""Richardson, Mark(Children's writing editor)"", ""Richardson, Mark(Children's writing editor)"", ""Richardson, Mark(Children's writing editor)"", ""Richardson, Mark(Children's writing editor)"", ""Richardson, Mark(Children's writing editor)""]","['Travel back in rhyme.', 'Mini sagas : fictional fun.', ""Talkin' 'bout my generation."", 'Mini sagas 2009.', 'Away with words.', 'Tiny treasures.']","[2012.0, 2010.0, 2007.0, 2009.0, 2007.0, 2010.0]","['Peterborough : Young Writers,', 'Peterborough : YoungWriters,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,', 'Peterborough : Young Writers,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, ""Children's writings, English"", ""Teenagers' writings, English."", ""Children's writings, English"", 'School verse, English', ""Children's writings, English""]","[nan, '""Young Writers\' 2010 creative writing competition for 7-11-year-olds""--Cover.', nan, nan, '""Young writers\' 16th annual poetry competition.""', nan]",2007.0,2012.0,6,left_only
Marjorie Garson,"['Garson, Marjorie.']","['Moral taste : aesthetics, subjectivity and social power in the nineteenth-century novel /']",[2007.0],"['Toronto, Ont. ; London : University of Toronto Press,']",['eng'],['Literature and morals.'],['Includes bibliographical references (p. [447]-466) and index.'],2007.0,2007.0,1,left_only
Denise R. Shaw,"['Shaw, Denise R.']",['The rape narrative in the American South : a psychoanalytical examination of sexual violence and the melancholic internalization of loss in the modern southern novel /'],[2007.0],"['Lewiston, N.Y. : Edwin Mellen Press,']",['eng'],['Psychoanalysis and literature.'],['The melancholic tradition of the modern southern novel -- Native sons : violence and the abject white male -- Belle or whore : the troubling construction of southern femininity -- Interracial rape : the big taboo.'],2007.0,2007.0,1,left_only
Josh Toth,"['Toth, Josh.']",['The mourning after : attending the wake of postmodernism /'],[2007.0],"['Amsterdam ; New York : Rodopi,']",['eng'],['Postmodernism.'],"['Acknowledgements -- Permissions and illustrations -- ARRIVING AND SOCIALIZING AT THE WAKE.  Introduction: A wake and renewed? -- Postmodernism in a fundamentalist arena -- Postmodernism in an age of distracting discourses -- Attending to suffering in/at the wake of postmodernism -- Soul service: Foucault\'s ""care of the self"" as politics and ethics -- VIEWING AND READING AT THE WAKE.  Mood swings: the aesthetics of ambient emergence -- New York, Los Angeles, and other toxicities: revisiting postmodernism in Rushdie\'s Fury and Shalimar the clown -- Nothing to write home about: impossible reception in Mark Z. Danielewski\'s House of leaves -- Turncoat: why Jonathan Franzen finally said ""no"" to Po-Mo -- Serving Pi(e) at the wake of postmodernism: mathematics and mysticism at the end of the 20th century -- MOURNING AND PRAYING AT THE WAKE.  Derrida and the ethics of mourning after -- Postmodernism and the crisis of belief: neo-realism vs. the real -- The weakness of God: a theology of the event -- Contributors.']",2007.0,2007.0,1,left_only
Stewart Shapiro,"['Shapiro, Stewart,1951-']",['Vagueness in context /'],[2007.0],"['Oxford : Oxford University Press,']",['eng'],['Language and languages'],"['Stewart Shapiro aims to develop a comprehensive account of the meaning, function and logic of vague terms in an idealised version of a natural language like English. He sees vagueness as a linguistic phenomenon, due to the kinds of languages that humans speak.']",2007.0,2007.0,1,left_only
Robert Darby,"['Darby, Robert.']",['Round the red lamp and other medical writings /'],[2007.0],"['Kansas City, Mo. : Valancourt Books,']",['eng'],['Physicians'],['Includes bibliographical references.'],2007.0,2007.0,1,left_only
