author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,_merge
Richard Winboult Harding,"['Harding, Richard Winboult.']",['The authority of Jesus.'],[1922.0],"['London, ']",['eng'],[nan],[nan],,,,left_only
RichardSir Lodge,"['Lodge, Richard,Sir,1855-1936,inscriber.StEdNL', 'Lodge, Richard,Sir,1855-1936.']","['The college under the later Stuarts /', 'The close of the middle ages, 1273-1494. Period III.']","[1909.0, 1902.0]","['Oxford,', 'London,']","['eng', 'eng']","[nan, nan]","['There is a bookplate on the front cover that has the Rosebery Coat of Arms surrounded by the motto, ""Honi Soit [Qui] Mal Y Pensi"" with the initials AR at the bottom indicating that it belonged to Archibald Philip Primrose, Earl of Rosebery. Enclosed between the cover and titlepage is a letter from the author presenting the book to Lord Rosebery dated 1910. In addition, there is in inscription on the titlepage that reads, ""from the Author. R.L.""', nan]",,,,left_only
Rita Kiki Edozie,"['Edozie, Rita Kiki.author.authttp://id.loc.gov/vocabulary/relators/aut']",['“Pan” Africa Rising [electronic resource] : The Cultural Political Economy of Nigeria’s Afri-Capitalism and South Africa’s Ubuntu Business /'],[nan],[nan],['eng'],['International Political Economy.'],"['This book uses Nigeria’s Afri-capitalist and South Africa’s Ubuntu Business models as case studies that reconcile the tension between Africa Rising and Pan African economics, presenting their convergence as Africa’s viable Third Way route to global development. In presenting Afri-capitalism and Ubuntu Business as national, business sector manifestations of a “new” Pan Africanism, the author explores Africa’s “culturalist” path in engaging the international political economy. This is an African customized engagement that parallels the alternative models of China’s “market-socialism” and Latin America’s “21st C Socialism”. All present alternatives to realist, liberal, and structuralist standpoints, inclining instead toward constructivist political economies derived from the perspectives and subject conditions of African economic histories, socio-cultures, alternative modernities, and agent-led initiatives.\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0.']",,,,left_only
RoaldWitches Dahl,"['Dahl, Roald.Witches.']",['The witches : the graphic novel /'],[nan],[nan],['eng'],['Witches'],[nan],,,,left_only
Rob Neufeld,"['Neufeld, Rob.']","['The making of a writer : journals, 1961-1963 /']",[2006.0],"['New York : Random House,']",['eng'],['Fiction'],['Includes bibliographical references and index.'],,,,left_only
Robert Appleton,"['Appleton, Robert,pseud. [i.e. Roman I. Zubof.]']",['After the manner of men : a novel of to-day.'],[1894.0],"['Boston, Mass.,']",['eng'],[nan],[nan],,,,left_only
Robert Askwith,"['Askwith, Robert.']",['New faces : four rising midlands poets /'],[1989.0],"['Croydon : Bradgate,']",['eng'],[nan],[nan],,,,left_only
Robert Bage,"['Bage, Robert,1728-1801.']",['Man as he is. A novel. In four volumes. By the author of Hermsprong.'],[1796.0],"['London : printed for William Lane, at the Minerva-Press,']",['eng'],[nan],['ESTC'],,,,left_only
Robert Barrass,"['Barrass, Robert.']","['Scientists must write a guide to better writing for scientists, engineers and students']",[1978.0],['London Chapman and Hall [etc.]'],['eng'],['Technical writing.'],['ISBN 0-412-15430-7 Pbk : £2.95'],,,,left_only
Robert Blacklock,"['Blacklock, Robert.']","['Answers for Robert Blacklock in Fairgirth, to the petition of Patrick Heron of Heron, Robert Maxwell of Cargen, and George Goldie merchant in Edinburgh, tutors dative to Alexander Goldie writer to the Signet.']",[1767.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],,,,left_only
Robert Clarke,"['Clarke, Robert,1968-editor.']",['The Cambridge companion to postcolonial travel writing /'],[nan],[nan],['eng'],"[""Travelers' writings.""]",['Includes bibliographical references and index.'],,,,left_only
Robert Darby,"['Darby, Robert.']",['Round the red lamp and other medical writings /'],[2007.0],"['Kansas City, Mo. : Valancourt Books,']",['eng'],['Physicians'],['Includes bibliographical references.'],,,,left_only
Robert Ellrodt,"['Ellrodt, Robert.']",['Seven metaphysical poets : a structural study of the unchanging self /'],[2000.0],"['Oxford : Oxford University Press,']",['eng'],['Self in literature.'],[nan],,,,left_only
Robert Finch,"['Finch, Robert,Playwright.', 'Finch, Robert,Playwright.']","[""Youth takes over; or, When a man's sixteen. A comedy ... in three acts."", 'Popecastle Inn. A comedy-drama in one act.']","[1939.0, 1937.0]","['New York; London, ', 'New York; London, ']","['eng', 'eng']","[nan, nan]","['Joint authors: Betty Smith, Joint Author of ""Folk Stuff"" and Robert Finch, Playwright.', 'Joint authors: Betty Smith, Joint Author of ""Folk Stuff"" and Robert Finch, Playwright.']",,,,left_only
Robert H. Brinkmeyer,"['Brinkmeyer, Robert H.']",['Remapping southern literature : contemporary Southern writers and the West /'],[2000.0],"['Athens, Ga. : University of Georgia Press,']",['eng'],['Regionalism in literature.'],['Includes bibliographical references (p. 115-125) and index.'],,,,left_only
Robert Hamilton Ball,"['Ball, Robert Hamilton.']",['A short view of Elizabethan drama together with some account of its principal playwrights and the conditions under which it was produced. [Illustrated.]'],[1943.0],"['New York, ']",['eng'],[nan],['Joint authors: Thomas Marc Parrott and Robert Hamilton Ball.'],,,,left_only
Robert Havard,"['Havard, Robert.']",['The Spanish eye : painters and poets of Spain /'],[2007.0],"['Woodbridge : Tamesis,']",['eng'],['Reality in literature.'],['Includes bibliographical references (p. [137]-144) and index.'],,,,left_only
Robert Henry Robins,"['Robins, R. H.(Robert Henry)']",['General linguistics an introductory survey'],[1980.0],['London Longman'],['eng'],['Linguistics.'],['ISBN 0-582-55364-4 Pbk : £6.95'],,,,left_only
Robert J. Cavalier,"['Cavalier, Robert J.']",['Plato for beginners.'],[1990.0],"['New York, N.Y. : Writers and Readers Publishing,']",['eng'],"['Philosophy, Ancient.']","['Written by Robert Cavalier, cartoons: Eric Lurio, illustrations and design: Naomi Rosenblatt and Shey Wolvek-Pfister.']",,,,left_only
Robert J. Miller,"['Miller, Robert J.(Robert Joseph),1954-']",['The complete Gospels : annotated Scholars Version /'],[1994.0],"['[San Francisco, Calif.] : HarperSanFrancisco,']",['eng'],[nan],['Includes bibliographical references.'],,,,left_only
Robert JWriting the psychology paper Sternberg,"['Sternberg, Robert J.Writing the psychology paper.']","[""The psychologist's companion a guide to scientific writing for students and researchers""]",[1988.0],['Cambridge Cambridge University Press'],['eng'],['Report writing.'],['Includes index'],,,,left_only
Robert Kerr Hannay,"['Hannay, Robert Kerr,1867-1940.']","[""The Society of Writers to His Majesty's Signet : with a list of the members and abstracts of the minutes of the society, the commissioners and the council, and the early history of the Scottish Signet.""]",[1936.0],"['Edinburgh : Printed for the Society at the University Press by T. and A. Constable Ltd.,']",['eng'],['Law'],['Includes bibliographical references and index.'],,,,left_only
Robert L. Shurter,"['Shurter, Robert L.(Robert LeFevre),1907-']","['The utopian novel in America, 1865-1900,']",[1973.0],"['New York, AMS Press']",['eng'],['Utopias in literature.'],['Bibliography: p. 286-302.'],,,,left_only
Robert L. Nelson,"['Nelson, Robert L.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Handbook of Employment Discrimination Research [electronic resource] : Rights and Realities /'],[nan],[nan],['eng'],"['Social Sciences, general.']","['There is still much to learn about fundamental aspects of employment discrimination law as a social system. What drives the growing demand for litigation? To what extent does discrimination persist in subtle but pervasive forms and what explains how it varies by organizational and market context? How do different groups of workers perceive the extent to which they are discriminated against and what, if anything, do they do about it? How have employers responded to discrimination law? How is employment discrimination law affected by broader political and legal currents? What is the relationship between anti-discrimination law and patterns of social inequality? The chapters in this unique collection grapple with many of these issues. Questions of this scope require interdisciplinary scholarship; and this book includes original contributions from many of the legal scholars, economists, psychologists, sociologists, political scientists, and historians who are at the forefront of new research on discrimination and law. The Handbook of Employment Discrimination Research encompasses critical discussions across different social science disciplines, as well as between legal scholars and social scientists. As a collection, it suggests a broad reconsideration of employment discrimination and its treatment in law.']",,,,left_only
Robert Louis Stevenson,"['Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.Travels with a donkey in the Cévennes.', 'Stevenson, Robert Louis,1850-1894.Weir of Hermiston.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.Inland voyage.', 'Stevenson, Robert Louis,1850-1894.Bottle imp.French.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894ant(FrPBN)11925554', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894,author.', 'Stevenson, Robert Louis,1850-1894.']","['Catriona a sequel to Kidnapped', 'The amateur emigrant : from the Clyde to Sandy Hook /', 'The strange case of Dr. Jekyll and Mr. Hyde, and other stories', 'Stevenson en Cévennes /', 'The master of Ballantrae ; and, The Weir of Hermiston /', 'The black arrow and Prince Otto /', 'Kidnapped ...', 'A Lowden Sabbath morn /', 'An inland voyage /', 'An inland voyage /', ""Island nights' entertainment: consisting of The beach of Falesá, The bottle imp, The isle of voices."", 'Kidnapped, or, The lad with the silver button. [A serial story in ""Young folks paper"", vol. XXVIII, no. 805 - vol. XXIX, no. 818.]', 'Some lead-pencil drawings made in the neighbourhood of Monastier, France.', 'The black arrow : a tale of the two roses.', 'The black arrow : a tale of the two roses.', 'The master of Ballantrae.', 'Treasure Island /', 'Treasure Island /', 'Treasure Island /', 'Kidnapped', 'Virginibus Puerisque and other papers /', 'Virginibus puerisque y otros escritos /', 'Der seltsame Fall von Dr. Jekyll und Mr. Hyde /', 'Dr. Jekyll and Mr. Hyde and An inland voyage', ""L'étrange cas du Dr Jekyll et de M. Hyde ; suivi de Le diable dans la bouteille /"", 'Strange case of Dr. Jekyll and Mr. Hyde.', ""L'île au trésor."", 'François Villon, student, poet and housebreaker', 'New Arabian nights.', 'Catriona /', 'Catriona: a sequel to ""Kidnapped"" ...', 'An inland voyage /', ""Island nights' entertainments /"", 'Father Damien an open letter to the Reverend Dr. Hyde of Honolulu from Robert Louis Stevenson', 'Tusitala : eventyrfortelleren /', ""Die Abentauer John Nicholson's und andere Erzählungen /"", 'A Christmas sermon', 'Treasure Island /', 'Travels with Robert Louis Stevenson.']","[1902.0, 1895.0, 1943.0, 2008.0, 1992.0, 1953.0, 1927.0, 1909.0, 1902.0, 1949.0, 1925.0, 1895.0, 1897.0, 1925.0, 1925.0, 1948.0, 1954.0, 2006.0, 1994.0, 1982.0, 1925.0, 1979.0, nan, 1886.0, 1983.0, 1886.0, 2013.0, 1920.0, 1882.0, 1988.0, 1928.0, 1926.0, 1930.0, 1890.0, 1951.0, 1925.0, 1928.0, nan, 2004.0]","[nan, 'Chicago : Stone and Kimball,', 'New York', 'Nîmes : Alcide,', ""London : Everyman's Library,"", 'London, ', 'London, ', 'London : Chatto & Windus,', 'London : Chatto & Windus,', 'London : Falcon Press,', '[London & Edinburgh, ', 'London,', '[London,', 'London, New York,', 'London,', 'London, ', 'London, ', 'London : Bloomsbury,', 'London : Puffin,', 'Leicester Charnwood', 'London,', 'Madrid Taurus', 'Wiesbaden : Insel-Verlag, 1955.', 'Leipzig', '[Verviers] : Marabout,', 'London,', ""Paris : l'École des loisirs,"", 'Girard, Kansas Haldeman-Julius', 'London,', 'London : Folio Society,', 'London & Glasgow, ', 'London,', 'London & Glasgow, ', 'Sydney [Privately printed]', 'Drammen : H. Lyche,', 'München : Buchenau & Reichert,', 'New York Privately printed', nan, 'London : Folio Society,']","['   ', 'eng', 'und', 'fre', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'ger', '   ', 'fre', 'eng', 'fre', '   ', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'nor', 'ger', '   ', 'eng', 'eng']","[nan, 'Ocean travel.', nan, 'Authors, Scottish', nan, nan, nan, 'Sunday', 'Waterways', nan, nan, nan, nan, nan, nan, nan, nan, 'Treasure Island (Imaginary place)', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Damien, Father, Saint, 1840-1889.', nan, nan, nan, nan, nan]","[nan, nan, ""Contents: The strange case of Dr. Jekyll and Mr. Hyde - A lodging for the night - The Sire de Maletroit's door - The pavilion on the links - Markheim - Olalla - The body-snatcher - The suicide club"", nan, nan, nan, nan, 'Pages numbered consecutively, but some are only printed on one side. The blank pages are intentional.', nan, nan, nan, nan, 'Pp. [7-16] of the studio special winter-number 1896-7, bound with vol. 9 of the studio.', nan, nan, nan, nan, 'Originally pub.: 1883.', nan, 'Published in large print', nan, nan, 'Spine title: Dr. Jekyll.', nan, 'Translations of: The strange case of Dr. Jekyll and Mr Hyde and The bottle imp.', '[Presented by J. Hepburn Millar, Esq., Advocate, March 1925.]', nan, nan, nan, 'In slip case', nan, nan, nan, 'Cover title', '""På hundreårsdagen for Robert Louis Stevensons fødsel."" -- T.p.', 'Translation of: Misadventures of John Nicholson.', 'Limited ed. of 245 copies', nan, 'In the south seas -- Across the plains and travels from Scotland to California -- An inland voyage and other European tales.']",,,,left_only
Robert M. Scotto,"['Scotto, Robert M.']","['Three contemporary novelists an annotated bibliography of works by and about John Hawkes, Joseph Heller, and Thomas Pynchon']",[1977.0],[nan],['   '],[nan],[nan],,,,left_only
Robert Macfie,"['Macfie, Robert.']",['In a meadow and other verses /'],[1938.0],"['[S.l. :  s.n.], ']",['eng'],[nan],['With inscription about author inside front cover.'],,,,left_only
Robert Murray,"['Murray, Robert,active approximately 1889.']",['Hawick songs and song writers /'],[1889.0],"['Hawick :  W. & J. Kennedy, ']",['eng'],"['Songs, Scottish.']",[nan],,,,left_only
Robert Pinsky,"['Pinsky, Robert.']",['Singing school : learning to write (and read) poetry by studying with the masters /'],[nan],[nan],['eng'],['Poetics.'],"[""Quick, joyful, and playfully astringent, with surprising comparisons and examples, this collection takes an unconventional approach to the art of poetry. Instead of rules, theories, or recipes, Singing School emphasizes ways to learn from great work: studying magnificent, monumentally enduring poems and how they are made. This anthology respects poetry's mysteries in two senses of the word: techniques of craft and strokes of the inexplicable. Pinsky's headnotes for each of the 80 poems and his brief introductions to each section take a writer's view of specific works, finding intense verbal music, wild imagination in matter-of-fact language, surrealist aplomb, and subtlety in meter.--From publisher description.""]",,,,left_only
Robert Ross,"['Ross, Robert,1726-1799.']","['The American grammar: or, A complete introduction to the English and Latin languages. Formed from a careful perusal of the classic authors, and the writings of the best grammarians. For the use of schools both English and Latin. By Robert Ross, A.M.']",[1782.0],"['Hartford : Printed by Nathaniel Patten, a few rods north of the Court-House,']",['eng'],[nan],"['Trumbull, J.H. Connecticut,']",,,,left_only
Robert Sencourt,"['Sencourt, Robert,1890-1969.', 'Sencourt, Robert,1890-1969.']","['Carmelite and poet : a framed portrait of St. John of the Cross; with his poems in Spanish.', 'Heirs of tradition : tributes of a New Zealander.']","[1943.0, 1949.0]","['London,', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",,,,left_only
Robert Sjoint author Getz,"['Getz, Robert S.joint author.']",['Contemporary American Government: problems and prospects'],[1972.0],"['New York ; London : Van Nostrand Reinhold Co.,']",['eng'],[nan],['Bibliography: p. 823-831.'],,,,left_only
Robert Ter Horst,"['Ter Horst, Robert,1929-']",['The fortunes of the novel : a study in the transposition of a genre /'],[2003.0],"['New York ; Oxford : Peter Lang,']",['eng'],['Literary form.'],['Includes bibliographical references and index.'],,,,left_only
Robert Young,"['Young, Robert, Writer on Foreign Missions.', 'Young, Robert,1950-', 'Young, Robert,1822-1888.', 'Young, Robert,1909-']","['The success of Christian missions. Testimonies to their beneficent results.', 'Colonial desire : hybridity in theory, culture, and race /', 'The prophecy of Obadiah against Edom, in the original Hebrew, with the corresponding Chaldee, Syriac and Arabic versions, arranged interlinearly /', 'The United States 1783-1877 an outline history from Independence to Reconstruction']","[1890.0, 1995.0, 1853.0, 1968.0]","['London, ', 'London : Routledge,', 'Edinburgh,', 'Oxford U.P']","['eng', 'eng', 'mul', 'eng']","[nan, 'Ethnocentrism', nan, nan]","[nan, 'Includes bibliographical references (p206-225) and index', nan, 'For O Level G.C.E']",,,,left_only
RobertLord Arniston Dundas,"['Dundas, Robert,Lord Arniston,1685-1753.']","[""Archibald Denham, of Westshield, Esq; advocate, [brace] appellant. Mr. James Baillie, writer to the Signet, [brace] respondent. : The appellant's case..""]",[1733.0],"['[S. l. : s. n.,']",['eng'],['Debtor and creditor'],['Signed at end: Dun. Forbes. Ch. Talbot. Ro. Dundas.'],,,,left_only
Robert Azevedo,"['Azevedo, Robert.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Silicon Carbide Microsystems for Harsh Environments [electronic resource] /'],[nan],[nan],['eng'],['Nanotechnology and Microengineering.'],"['<p><em>Silicon Carbide Microsystems for Harsh Environments</em> reviews state-of-the-art Silicon Carbide (SiC) technologies that, when combined, create microsystems capable of surviving in harsh environments. Technological readiness of the system components, key issues when integrating these components into systems, and other hurdles in harsh environment operation are discussed at length. The authors use the SiC technology platform suite as the model platform for developing harsh environment Microsystems, and then detail the current status of the specific individual technologies (electronics, MEMS, packaging). Additionally, methods towards system level integration of components and key challenges are evaluated and discussed based on the current state of SiC materials processing and device technology. Issues such as temperature mismatch, process compatibility and temperature stability of individual components and how these issues manifest when building the system receive thorough investigation. This book also: </p> <ul> \xa0\xa0\xa0 <li>Addresses the SiC platform for complete microsystems and goes beyond the individual device level</li> \xa0\xa0\xa0 <li>Provides a comprehensive collection of SiC technologies information relevant to harsh environment microsystems</li> \xa0\xa0\xa0 <li>Covers the challenges in combining SiC process and components to a microsystem</li> \xa0\xa0\xa0 <li>Discusses power source and signal transmission issues in the context of the harsh environment application space </li> </ul> <p><em>Silicon Carbide Microsystems for Harsh Environments</em> not only reviews the state-of-the-art MEMS devices, but also provides a framework for the joining of electronics and MEMS along with packaging into usable harsh-environment-ready sensor modules.</p>.']",,,,left_only
Robert Green,"['Green, Robert.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Beginning Android Games [electronic resource] /'],[nan],[nan],['eng'],['Programming Techniques.'],"[""Learn all of the basics needed to join the ranks of successful Android game developers. You'll start with game design fundamentals and Android programming basics, and then progress toward creating your own basic game engine and playable game apps that work on Android smartphones and tablets. Beginning Android Games, Third Edition gives you everything you need to branch out and write your own Android games for a variety of hardware. Do you have an awesome idea for the next break-through mobile gaming title? Beginning Android Games will help you kick-start your project. This book will guide you through the process of making several example game apps using APIs available in Android. What You'll Learn Gain the fundamentals of game programming in the context of the Android platform Use Android's APIs for graphics, audio, and user input to reflect those fundamentals Develop two 2D games from scratch, based on Canvas API and OpenGL ES Create a full-featured 3D game Publish your games, get crash reports, and support your users Complete your own playable 2D OpenGL games Who This Book Is For People with a basic knowledge of Java who want to write games on the Android platform. It also offers information for experienced game developers about the pitfalls and peculiarities of the platform.""]",,,,left_only
Robert Mackay,"['Mackay, Robert.author.authttp://id.loc.gov/vocabulary/relators/aut']","['Al-Si Alloys [electronic resource] : Automotive, Aeronautical, and Aerospace Applications /']",[nan],[nan],['eng'],['Automotive Engineering.'],"['This book details aluminum alloys with special focus on the aluminum silicon (Al‐Si) systems – that are the most abundant alloys second only to steel. The authors include a description of the manufacturing principles, thermodynamics, and other main characteristics of Al‐Si alloys. Principles of processing, testing, and in particular applications in the Automotive, Aeronautical and Aerospace fields are addressed. Discusses aluminum silicon alloy selection, manufacturing, applications with particular attention to the issues of mechanical properties and soundness; Includes key technologies for aluminum silicon alloys such as casting, chemical and electromagnetic processing, casting, powder metallurgy, and applications for automotive, \xa0and aerospace use; Addresses both, hypo and hypereutectic, alloys and their applications in-depth.']",,,,left_only
Robert McLaughlin,"['McLaughlin, Robert.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['New Technologies and the Law of Armed Conflict [electronic resource] /'],[nan],[nan],['eng'],"['IT Law, Media Law, Intellectual Property.']","['With a Foreword by Michael N. Schmitt, Charles H. Stockton Professor and Chairman, United States Naval War College. \xa0 Modern technological development has been both rapid and fundamentally transformative of the means and methods of warfare, and of the broader environment in which warfare is conducted. In many cases, technological development has been stimulated by, and dedicated to, addressing military requirements. On other occasions, technological developments outside the military sphere affect or inform the conduct of warfare and military expectations. The introduction of new technologies such as information technology, space technologies, nanotechnology and robotic technologies into our civil life, and into warfare, is expected to influence the application and interpretation of the existing rules of the law of armed conflict. \xa0\xa0\xa0\xa0\xa0 In this book, scholars and practitioners working in the fields critically examine the potential legal challenges arising from the use of new technologies and future directions of legal development in light of the specific characteristics and challenges each technology presents with regard to foreseeable humanitarian impacts upon the battlespace. \xa0\xa0\xa0\xa0\xa0 New Technologies and the Law of Armed Conflict is highly recommended to everyone involved in the ongoing weapons debates, as well as those interested in the broader relationship between law and war. \xa0 Hitoshi Nasu and Robert McLaughlin are Senior Lecturer and Associate Professor respectively at the ANU College of Law, Australian National University, Canberra ACT, Australia.']",,,,left_only
Roberto Marchesini,"['Marchesini, Roberto.author.authttp://id.loc.gov/vocabulary/relators/aut']",['Over the Human [electronic resource] : Post-humanism and the Concept of Animal Epiphany /'],[nan],[nan],['eng'],['Ethics.'],"['This book presents a new way to understand human–animal interactions. Offering a profound discussion of topics such as human identity, our relationship with animals and the environment, and our culture, the author channels the vibrant Italian traditions of humanism, materialism, and speculative philosophy. The research presents a dialogue between the humanities and the natural sciences. It challenges the separation and oppression of animals with a post-humanism steeped in the traditions of the Italian Renaissance. Readers discover a vision of the human as a species informed by an intertwining with animals. The human being is not constructed by an onto-poetic process, but rather by close relati ons with otherness. The human system is increasingly unstable and, therefore, more hybrid. The argument it presents interests scholars, thinkers, and researchers. It also appeals to anyone who wants to delve into the deep animal–human bond and its philosophical, cultural, political instances. The author is a veterinarian, ethologist, and philosopher. He uses cognitive science, zooanthropology, and philosophy to engage in a series of empirical, theoretical, and practice-based engagements with animal life. In the process, he argues that animals are key to human identity and culture at all levels.']",,,,left_only
Roberto Solis-Oba,"['Solis-Oba, Roberto.editor.edthttp://id.loc.gov/vocabulary/relators/edt']","['Approximation and Online Algorithms [electronic resource] : Second International Workshop, WAOA 2004, Bergen, Norway, September 14-16, 2004, Revised Selected Papers /']",[nan],[nan],['eng'],['Algorithms.'],"['The 2nd Workshop on Approximation and Online Algorithms (WAOA 2004) focused on the design and analysis of algorithms for online and computationally hard problems. Both kinds of problems have a large number of applications arising from a variety of ?elds. WAOA 2004 took place in Bergen, Norway, from September 14 to September 16, 2004. The workshop was part of the ALGO 2004 event which also hosted ESA, WABI, IWPEC, and ATMOS. TopicsofinterestsforWAOA2004were:applicationstogametheory,appr- imation classes, coloring and partitioning, competitive analysis, computational ?nance, cuts and connectivity, geometric problems, inapproximability results, mechanism design, network design, routing, packing and covering, paradigms, randomization techniques, and scheduling problems. In response to our call we received 47 submissions. Each submission was reviewed by at least 3 referees, who judged the paper on originality, quality, and consistency with the topics of the conference. Based on the reviews, the Program Committee selected 21 papers. This volume contains the 21 selected papers and the two invited talks given by Yossi Azar and Klaus Jansen. We thank all the authors who submitted papers to the workshop and we also kindly thank the local organizers of ALGO 2004.']",,,,left_only
Robin Hardman,"['Hardman, Robin,author.']",['The writing game : 50 evidence-informed writing activities for GCSE and A Level /'],[nan],[nan],['eng'],['English language'],['Includes bibliographical references (pages 153-155).'],,,,left_only
Robin Skelton,"['Skelton, Robin.', 'Skelton, Robin.']","['Collected verse translations /', 'The writings of J.M. Synge']","[1970.0, 1971.0]","['London Oxford U.P', 'London Thames and Hudson']","['eng', 'eng']","[nan, 'Synge, J. M. (John Millington), 1871-1909.']","['Includes translations of poems by Hölderlin', 'bibl p182-184']",,,,left_only
Robin Williamson,"['Williamson, Robin,1943-', 'Williamson, Robin,1943-']","['Selected writings 1980-83 /', 'Five Celtic tales of prodigies and marvels']","[nan, 1985.0]","[nan, '[Scotland] [The Author]']","['eng', 'eng']","[nan, nan]","['Song of Mabon -- The fair -- The fair dance -- Lammas  -- Edinburgh -- Lammas dance.', 'Programme notes on container']",,,,left_only
Roderick Macleod,"['Macleod, Roderick.']","['Replies for Roderick Macleod of Cadboll, Hugh Rose younger of Aitnoch, William Fraser of Ardochy, and James Crawfurd writer in Edinburgh, all standing upon the roll of freeholders for the county of Cromarty, to the answers for Leonard Urquhart writer to the signet.']",[1766.0],"['[Edinburgh,']",['eng'],[nan],['ESTC'],,,,left_only
Rodney Stenning Edgecombe,"['Edgecombe, Rodney Stenning.']",['Vision and style in Patrick White : a study of five novels /'],[1989.0],"['Tuscaloosa : University of Alabama Press,']",['eng'],"['White, Patrick, 1912-']",['Bibliography: p. 164-167.'],,,,left_only
Rodrigo Esparza Muñoz,"['Esparza Muñoz, Rodrigo.editor.edthttp://id.loc.gov/vocabulary/relators/edt']",['Materials Characterization [electronic resource] /'],[nan],[nan],['eng'],['Spectroscopy and Microscopy.'],['This book covers novel research results for process and techniques of materials characterization for a wide range of materials. The authors provide a comprehensive overview of the aspects of structural and chemical characterization of these materials.\xa0 The articles contained in this book covers state of the art and experimental techniques commonly used in modern materials characterization. The book includes theoretical models and numerous illustrations of structural and chemical characterization properties.'],,,,left_only
Roger A. Sneed,"['Sneed, Roger A.']",['Representations of homosexuality : Black liberation theology and cultural criticism /'],[2010.0],"['New York, N.Y. ; Basingstoke : Palgrave Macmillan,']",['eng'],['Liberation theology'],"['""This book challenges Black religious and cultural critics to rethink theological and ethical approaches to homosexuality. Sneed demonstrates how black liberation theology and has often characterized homosexuality as a problem to be solved, and his work here offers a different way for Black religious scholars to approach Black homosexuality and religious experiences. Drawing on a range of Black gay writers from Essex Hemphill to J.L. King, Sneed identifies Black gay men\'s literature as a rich source for theological and ethical reflection and points Black religious scholarship toward an ethics of openness""--Provided by publisher.']",,,,left_only
