author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency
Robert Crumb,"['Crumb, Robert.']", "['R. Crumb draws the blues /']", [1992.0],"['London : Knockabout Comics,']",['eng'],['Blues (Music)'],[nan],1992.0,1992.0,1
Robert Ervin Howard,"['Howard, Robert Ervin,1906-1936.']", "['The Dark Man, and others /']", [1978.0],['London Panther'],['eng'],"['Short stories, English.']","['This collection originally published: Sauk City : Arkham House, 1963']",1978.0,1978.0,1
Robert Fergusson,"['Fergusson, Robert,1750-1774.']", "['The poetical works of Robert Fergusson']", [1871.0],['London W. & R. Chambers'],['eng'],['Scottish poetry.'],[nan],1871.0,1871.0,1
Robert Graves,"['Graves, Robert,1895-1985.']", "['Count Belisarius']", [1970.0],['London Cassell'],['eng'],[nan],['Previous ed. 1961. Originally published 1938'],1970.0,1970.0,1
Robert Lacey,"['Lacey, Robert.']", "['Grace /']", [1994.0],"['Thorndike : G.K. Hall ; Bath : Chivers Press,']",['eng'],['Princesses'],"['Originally published: London : Sidgwick & Jackson, 1994.']",1994.0,1994.0,1
Robert Lewis Dabney,"['Dabney, Robert Lewis,1820-1898.']", "['Evangelical eloquence : a course of lectures on preaching /']", [1999.0],"['Edinburgh : Banner of Truth Trust,']",['eng'],['Preaching.'],['Includes bibliographical references.'],1999.0,1999.0,1
Robert Louis Stevenson,"['Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.Travels with a donkey in the Cévennes.', 'Stevenson, Robert Louis,1850-1894.Weir of Hermiston.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.Inland voyage.', 'Stevenson, Robert Louis,1850-1894.Bottle imp.French.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894ant(FrPBN)11925554', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894.', 'Stevenson, Robert Louis,1850-1894,author.', 'Stevenson, Robert Louis,1850-1894.']", '[\'Catriona a sequel to Kidnapped\', \'The amateur emigrant : from the Clyde to Sandy Hook /\', \'The strange case of Dr. Jekyll and Mr. Hyde, and other stories\', \'Stevenson en Cévennes /\', \'The master of Ballantrae ; and, The Weir of Hermiston /\', \'The black arrow and Prince Otto /\', \'Kidnapped ...\', \'A Lowden Sabbath morn /\', \'An inland voyage /\', \'An inland voyage /\', "Island nights\' entertainment: consisting of The beach of Falesá, The bottle imp, The isle of voices.", \'Kidnapped, or, The lad with the silver button. [A serial story in "Young folks paper", vol. XXVIII, no. 805 - vol. XXIX, no. 818.]\', \'Some lead-pencil drawings made in the neighbourhood of Monastier, France.\', \'The black arrow : a tale of the two roses.\', \'The black arrow : a tale of the two roses.\', \'The master of Ballantrae.\', \'Treasure Island /\', \'Treasure Island /\', \'Treasure Island /\', \'Kidnapped\', \'Virginibus Puerisque and other papers /\', \'Virginibus puerisque y otros escritos /\', \'nan\', \'Dr. Jekyll and Mr. Hyde and An inland voyage\', "L\'étrange cas du Dr Jekyll et de M. Hyde ; suivi de Le diable dans la bouteille /", \'Strange case of Dr. Jekyll and Mr. Hyde.\', "L\'île au trésor.", \'François Villon, student, poet and housebreaker\', \'New Arabian nights.\', \'Catriona /\', \'Catriona: a sequel to "Kidnapped" ...\', \'An inland voyage /\', "Island nights\' entertainments /", \'Father Damien an open letter to the Reverend Dr. Hyde of Honolulu from Robert Louis Stevenson\', \'Tusitala : eventyrfortelleren /\', "Die Abentauer John Nicholson\'s und andere Erzählungen /", \'A Christmas sermon\', \'nan\', \'Travels with Robert Louis Stevenson.\']', "[1902.0, 1895.0, 1943.0, 2008.0, 1992.0, 1953.0, 1927.0, 1909.0, 1902.0, 1949.0, 1925.0, 1895.0, 1897.0, 1925.0, 1925.0, 1948.0, 1954.0, 2006.0, 1994.0, 1982.0, 1925.0, 1979.0, 1886.0, 1983.0, 1886.0, 2013.0, 1920.0, 1882.0, 1988.0, 1928.0, 1926.0, 1930.0, 1890.0, 1951.0, 1925.0, 1928.0, 2004.0]","[nan, 'Chicago : Stone and Kimball,', 'New York', 'Nîmes : Alcide,', "London : Everyman's Library,", 'London, ', 'London, ', 'London : Chatto & Windus,', 'London : Chatto & Windus,', 'London : Falcon Press,', '[London & Edinburgh, ', 'London,', '[London,', 'London, New York,', 'London,', 'London, ', 'London, ', 'London : Bloomsbury,', 'London : Puffin,', 'Leicester Charnwood', 'London,', 'Madrid Taurus', 'Wiesbaden : Insel-Verlag, 1955.', 'Leipzig', '[Verviers] : Marabout,', 'London,', "Paris : l'École des loisirs,", 'Girard, Kansas Haldeman-Julius', 'London,', 'London : Folio Society,', 'London & Glasgow, ', 'London,', 'London & Glasgow, ', 'Sydney [Privately printed]', 'Drammen : H. Lyche,', 'München : Buchenau & Reichert,', 'New York Privately printed', nan, 'London : Folio Society,']","['   ', 'eng', 'und', 'fre', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'spa', 'ger', '   ', 'fre', 'eng', 'fre', '   ', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'nor', 'ger', '   ', 'eng', 'eng']","[nan, 'Ocean travel.', nan, 'Authors, Scottish', nan, nan, nan, 'Sunday', 'Waterways', nan, nan, nan, nan, nan, nan, nan, nan, 'Treasure Island (Imaginary place)', nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, 'Damien, Father, Saint, 1840-1889.', nan, nan, nan, nan, nan]","[nan, nan, "Contents: The strange case of Dr. Jekyll and Mr. Hyde - A lodging for the night - The Sire de Maletroit's door - The pavilion on the links - Markheim - Olalla - The body-snatcher - The suicide club", nan, nan, nan, nan, 'Pages numbered consecutively, but some are only printed on one side. The blank pages are intentional.', nan, nan, nan, nan, 'Pp. [7-16] of the studio special winter-number 1896-7, bound with vol. 9 of the studio.', nan, nan, nan, nan, 'Originally pub.: 1883.', nan, 'Published in large print', nan, nan, 'Spine title: Dr. Jekyll.', nan, 'Translations of: The strange case of Dr. Jekyll and Mr Hyde and The bottle imp.', '[Presented by J. Hepburn Millar, Esq., Advocate, March 1925.]', nan, nan, nan, 'In slip case', nan, nan, nan, 'Cover title', '"På hundreårsdagen for Robert Louis Stevensons fødsel." -- T.p.', 'Translation of: Misadventures of John Nicholson.', 'Limited ed. of 245 copies', nan, 'In the south seas -- Across the plains and travels from Scotland to California -- An inland voyage and other European tales.']",1882.0,2013.0,37
Robert Owen,"['Owen, Robert,Writer in Welsh.', 'Owen, Robert, Rev.']", "['Yr Hen Lagonda ac Ysgrifau Eraill.', 'Institutes of Canon Law.']", "[1967.0, 1884.0]","['Llandybie, ', 'London, ']","['wel', 'eng']","[nan, nan]","[nan, nan]",1884.0,1967.0,2
Robert Parrish,"['Parrish, Robert.']", "['Growing up in Hollywood']", [1980.0],['St. Albans Triad'],['eng'],['Motion pictures'],['Includes index'],1980.0,1980.0,1
Robert Silverberg,"['Silverberg, Robert.', 'Silverberg, Robert.']", "['Star of gypsies', 'The gate of worlds']", "[1988.0, 1980.0]","['Futura', 'London Magnum Books']","['eng', 'eng']","[nan, 'English fiction.']","[nan, 'Originally published : New York : Holt, Rinehart and Winston, 1967 ; London : Gollancz, 1978']",1980.0,1988.0,2
Robin Morgan,"['Morgan, Robin.']", "['Dry your smile']", [1988.0],"["Women's"]",['eng'],[nan],[nan],1988.0,1988.0,1
Rodolphe Topffer,"['Töpffer, Rodolphe,1799-1846.', 'Töpffer, Rodolphe,1799-1846', 'Töpffer, Rodolphe,1799-1846.', 'Töpffer, Rodolphe,1799-1846.']", '[\'Nouvelles Genevoises /\', "Voyage autour du Mont Blanc dans les Vallées d\'Herens, de Zermatt et au Grimsel /", \'Nouvelles Genevoises /\', \'Rodolphe Töpffer biographie et extraits /\']', "[1851.0, 1843.0, 1841.0, 1899.0]","['Paris,', '[S.l.],', 'Paris', 'Lyon Librairie Générale Catholique et Classique']","['fre', 'fre', '   ', 'fre']","[nan, nan, nan, 'French prose literature.']","[nan, 'Litho "Schmid".', nan, nan]",1841.0,1899.0,4
Roger McGough,"['McGough, Roger.']", "['Watchwords']", [1969.0],['London Cape'],['eng'],[nan],['Pbk. 10/-. sbn 224 61706 0'],1969.0,1969.0,1
Roger Scruton,"['Scruton, Roger.']", "['A short history of modern philosophy from Descartes to Wittgenstein']", [1984.0],['London Ark'],['eng'],"['Philosophy, Modern.']",['Bibliography: p285-293. - Includes index'],1984.0,1984.0,1
Rolf Harris,"['Harris, Rolf,1930-', 'Harris, Rolf,1930-']", '[\'Your cartoon time\', "Rolf\'s cartoon club /"]', "[1986.0, 1992.0]","['[Sevenoaks] Knight', 'Sevenoaks : Hodder and Stoughton,']","['eng', 'eng']","['Australian wit and humor, Pictorial.', nan]","[nan, nan]",1986.0,1992.0,2
Rom Landau,"['Landau, Rom,1899-']", "['An outline of Moroccan culture /']", [1957.0],"['Rabat : "Morocco" Publishers,']",['eng'],[nan],[nan],1957.0,1957.0,1
Ron Reagan,"['Reagan, Ron.']", "['Siamese cats']", [1981.0],['T.F.H. Publications'],['   '],[nan],[nan],1981.0,1981.0,1
Rona Barrett,"['Barrett, Rona.']", "['The lovomaniacs']", [1975.0],['London Corgi'],['eng'],['English fiction.'],"['Originally published: Los Angeles : Nash Publishing, 1972 ; London : W.H. Allen, 1973']",1975.0,1975.0,1
Ronald Hayman,"['Hayman, Ronald.']", "['Samuel Beckett']", [1970.0],['London Heinemann'],['eng'],"['Beckett, Samuel, 1906-1989.']",['bibl p.vii'],1970.0,1970.0,1
Rosa Luxemburg,"['Luxemburg, Rosa,1871-1919.', 'Luxemburg, Rosa,1871-1919.']", "['The Russian Revolution and Leninism or Marxism? /', 'Sozial reform oder Revolution?.']", "[1961.0, 1919.0]","['[Ann Arbor], ', 'Leipzig, ']","['eng', 'ger']","[nan, nan]","[nan, nan]",1919.0,1961.0,2
Rosamond Smith,"['Smith, Rosamond.']", "['Nemesis /']", [1991.0],"['Sevenoaks : New English Library,']",['eng'],[nan],"['Originally published: Canada? : The Ontario Review, 1990.']",1991.0,1991.0,1
Rosie Scott,"['Scott, Rosie,1948-']", "['Glory days /']", [1989.0],"["London : Women's Press,"]",['eng'],[nan],[nan],1989.0,1989.0,1
Ruby Dee,"['Dee, Ruby.']", "['Life lit by some large vision : selected speeches and writings /']", [2006.0],"['New York ; London : Atria Books,']",['eng'],['African Americans.'],[nan],2006.0,2006.0,1
Rudolf Hauschka,"['Hauschka, Rudolf.']", "['Nutrition /']", [1983.0],['London Steiner'],['eng'],['Anthroposophy.'],['Bibliography: p209. - Includes index'],1983.0,1983.0,1
Rudyard Kipling,"['Kipling, Rudyard,1865-1936,author.', 'Kipling, Rudyard,1865-1936.Under the deodars.', 'Kipling, Rudyard,1865-1936.Jungle book.Selections.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.', 'Kipling, Rudyard,1865-1936.']", '[\'nan\', \'nan\', "Mowgli\'s brothers /", "Kipling\'s message. [Address delivered by Mr. Rudyard Kipling at Folkestone, on February 15, 1918.]", \'Le Livre de la Jungle /\', \'East of Suez: being a selection of Eastern verses ... /\', \'Barrack-room ballads and other verses\', \'nan\', \'Departmental ditties and other verses. ...\', \'The complete Stalky & Co. /\', \'The Kipling reader, selections from the books of Rudyard Kipling.\', \'Barrack-room ballads and other verses.\']', "[1996.0, 1918.0, 1912.0, 1931.0, 1892.0, 1913.0, 1929.0, 1901.0, 1914.0]","[nan, nan, 'London : Phoenix,', 'London,', 'Paris, ', 'London, ', 'London Methuen', 'London : The Proprietor,', 'London, ', 'London, ', 'London,', 'London, ']","['eng', 'eng', 'eng', 'eng', 'fre', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, nan, nan, 'English poetry.', 'World War, 1914-1918', nan, nan, nan, nan]","[nan, nan, nan, 'In portfolio.', 'The date of printing is 1907.', nan, nan, nan, nan, nan, nan, nan]",1892.0,1996.0,9
Rufus Wilmot Griswold,"['Griswold, Rufus Wilmot,1815-1887.']", "['The republican court, or, American society in the days of Washington [microform] /']", [1867.0],"['New York ; London : D. Appleton and company,']",['eng'],[nan],['Microfiche.'],1867.0,1867.0,1
Rupert Hughes,"['Hughes, Rupert,1872-1956.']", "['Thomas E. Dewey: attorney for the people, etc. [With portraits.]']", [1940.0],"['London,']",['eng'],[nan],[nan],1940.0,1940.0,1
Ruth Crawford Seeger,"['Seeger, Ruth Crawford.']", "['Our singing country. A second volume of American ballads and folk songs /']", [1941.0],"['New York,']",['eng'],[nan],[nan],1941.0,1941.0,1
Ruth Prawer Jhabvala,"['Jhabvala, Ruth Prawer,1927-Heat and dust.']", "['Heat and dust /']", [2000.0],"['Oxford : Oxford University Press,']",['eng'],[nan],"['Originally published, 1990.']",2000.0,2000.0,1
Sally Banes,"['Banes, Sally.']", '["Democracy\'s body Judson Dance Theater, 1962-1964"]', [1983.0],['Epping Bowker'],['eng'],['Judson Dance Theater'],['Bibliography: p257-261. - Includes index'],1983.0,1983.0,1
Sally Potter,"['Potter, Sally,1951-']", "['Devotion to a rebel /']", [1998.0],"['Durham : Paper Doll,']",['eng'],[nan],[nan],1998.0,1998.0,1
Salman Rushdie,"['Rushdie, Salman.']", "['The ground beneath her feet : a novel /']", [1999.0],"['London : Vintage,']",['eng'],[nan],"['Originally published: London : Cape, 1999.']",1999.0,1999.0,1
Salvator Gotta,"['Gotta, Salvator.']", "['Alta Montagna, La Fontana dei Sospiri, La Damigella di Bard. [With a portrait.]']", [1958.0],"['Rocca San Casciano, ']",['ita'],[nan],[nan],1958.0,1958.0,1
Samuel Beckett,"['Beckett, Samuel,1906-1989.Waiting for Godot.', 'Beckett, Samuel,1906-1989.', 'Beckett, Samuel,1906-1989.', 'Beckett, Samuel,1906-1989.', 'Beckett, Samuel,1906-1989.']", '["Brodie\'s notes on Samuel Beckett\'s Waiting for Godot /", \'Watt\', \'Six residua /\', \'Comédie et Actes Divers.\', \'Anthology of Mexican poetry /\']', "[1989.0, 1970.0, 1978.0, 1966.0, 1970.0]","['Basingstoke : Macmillan,', 'London Calder & Boyars', 'London J. Calder [Distributed by Calder and Boyars]', 'Paris, ', 'London Calder & Boyars']","['eng', 'eng', 'eng', 'fre', 'eng']","[nan, nan, nan, nan, nan]","['First published: London : Pan, 1986.', 'Originally published, Paris: Olympia P., 1953; (B63-18857), London: Calder, 1963', 'Contents: From an abandoned work - Enough - Imagination dead imagine - Ping - Lessness - The lost ones. - Includes one item originally written in English', nan, 'Originally published, Bloomington: Indiana U.P., 1958; (B59-2110), London: Thames & Hudson, 1959']",1966.0,1989.0,5
Samuel Glasstone,"['Glasstone, Samuel,1897-1986.']", "['Oxidation-reduction potentials and their applications. [A lecture] /']", [1937.0],"['London,']",['eng'],[nan],[nan],1937.0,1937.0,1
Saul David,"['David, Saul,1966-']", "['Military blunders : the how and why of military failure /']", [1997.0],"['London : Robinson,']",['eng'],['Military art and science'],['Includes bibliographical references and index.'],1997.0,1997.0,1
Scott Hahn,"['Hahn, Scott.']", "['Swear to God : the promise and power of the sacraments  /']", [2004.0],"['London : Darton, Longman and Todd,']",['eng'],['Sacraments'],['Includes bibliographical references.'],2004.0,2004.0,1
Seamus Heaney,"['Heaney, Seamus.', 'Heaney, Seamus.']", "['Lenten parish programme.', 'Lenten parish programme.']", "[1988.0, 1988.0]","['Dublin : Veritas,', 'Dublin : Veritas,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1988.0,1988.0,2
Shelley E. Taylor,"['Taylor, Shelley E.']", "['Health psychology /']", [1999.0],"['Boston, Mass. : McGraw-Hill,']",['eng'],"['Medicine, Psychosomatic.']",['Includes bibliographical references (p. 504-593) and indexes.'],1999.0,1999.0,1
Sheridan Morley,"['Morley, Sheridan,1941-2007.']", "['A talent to amuse a biography of Noel Coward']", [1986.0],['London Pavilion'],['eng'],['Entertainers'],['Biography: p348-351. - Includes index'],1986.0,1986.0,1
Sherman Alexie,"['Alexie, Sherman.']", "['Eddie and the Cruisers /']", [2008.0],"['Woodstock, N.Y. : Overlook Press,']",['eng'],['Rock groups'],[nan],2008.0,2008.0,1
Siegfried Sassoon,"['Sassoon, Siegfried,1886-1967.', 'Sassoon, Siegfried,1886-1967.', 'Sassoon, Siegfried,1886-1967.']", "['Collected poems, 1908-1956 /', 'Siegfried Sassoon.', 'The redeemer.']", "[2002.0, 1926.0, 1916.0]","['London : Faber and Faber,', 'London,', 'Cambridge,']","['eng', 'eng', 'eng']","[nan, nan, nan]","['Previous ed.: 1947.', nan, nan]",1916.0,2002.0,3
Simon Callow,"['Callow, Simon,1949-']", "['Orson Welles : the road to Xanadu /']", [1995.0],"['London : Vintage,']",['eng'],"['Welles, Orson, 1915-1985.']","['Originally published: London : Jonathan Cape, 1995.']",1995.0,1995.0,1
Simon Raven,"['Raven, Simon,1927-2001,author.', 'Raven, Simon,1927-2001.']", "['nan', 'September Castle a tale of love']", [1983.0],"[nan, 'London Blond & Briggs']","['eng', 'eng']","[nan, nan]","['Originally published: [London] : Anthony Blond Limited, 1959.', nan]",1983.0,1983.0,1
Simon Stevin,"['Stevin, Simon.', 'Stevin, Simon.']", '[\'Het Burgherlick Leven /\', "Vorstelicke bouckhouding op de Italiaensche wyse, 1607 Livre de compte de Prince a la maniere d\'Italie, 1608"]', "[1939.0, 1979.0]","['Amsterdam, ', 'London Scolar Press']","['dut', 'dut']","[nan, 'Bookkeeping.']","[nan, 'Facsimile reprints of the editions first published: Leyden: I. Bouwensz, 1607, and, Leyden: I.P. Iacobz, 1608']",1939.0,1979.0,2
Siv Cedering,"['Cedering, Siv.']", "['Cup of cold water : poems and photographs /']", [1973.0],"['[New York] :  New Rivers Press ; [distributed by Serendipity Books, Berkeley, Calif.], ']",['eng'],[nan],[nan],1973.0,1973.0,1
Sonia Clarke,"['Clarke, Sonia.', 'Clarke, Sonia.']", '[\'Invasion of Zululand 1879 Anglo-Zulu War experiences of Arthur Harness ; John Jervis, 4th Viscount St Vincent ; and Sir Henry Bulwer\', \'"Vanity fair" in Southern Africa : 1869 to 1914 /\']', "[1979.0, 1991.0]","[nan, 'Houghton, South Africa : Brenthurst Press,']","['   ', 'eng']","[nan, nan]","[nan, 'Includes bibliographical references (p. 210-214) and index.']",1979.0,1991.0,2
Spike Milligan,"['Milligan, Spike,1918-2002.', 'Milligan, Spike,1918-2002.', 'Milligan, Spike,1918-2002.', 'Milligan, Spike,1918-2002.', 'Milligan, Spike,1918-2002.']", "['Silly verse for kids /', 'Startling verse for all the family', 'Wuthering Heights according to Spike Milligan.', 'Wuthering Heights according to Spike Milligan.', 'Adolf Hitler: my part in his downfall']", "[1968.0, 1987.0, 1994.0, 1994.0, 1971.0]","['London : Puffin,', 'London Joseph', 'London : Michael Joseph,', 'London : Penguin,', 'London Joseph']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, 'Brontë, Emily, 1818-1848.', nan]","[nan, nan, nan, nan, nan]",1968.0,1994.0,5
Stanley Eugene Fish,"['Fish, Stanley Eugene.']", '["Surprised by sin the reader in \'Paradise Lost\'"]', [1971.0],"['Berkeley London (2 Brook St., W1Y 1AA) University of California Press']",['eng'],"['Milton, John, 1608-1674.']","["Originally published, New York: St Martin's Press; London: Macmillan, 1967"]",1971.0,1971.0,1
Stanley William Hayter,"['Hayter, Stanley William,1901-1988.']", "['New ways of gravure /']", [1966.0],"['London : Oxford University Press,']",['eng'],['Engraving'],['Bibliography: p. [289]-294.'],1966.0,1966.0,1
Stefan Buczacki,"['Buczacki, Stefan,1945-']", "['Best soft fruit /']", [1994.0],"['London : Hamlyn,']",['eng'],[nan],[nan],1994.0,1994.0,1
Stefan Zweig,"['Zweig, Stefan,1881-1942.', 'Zweig, Stefan,1881-1942.', 'Zweig, Stefan,1881-1942.', 'Zweig, Stefan,1881-1942.', 'Zweig, Stefan,1881-1942.']", "['The living thoughts of Tolstoi /', 'Letter from an unknown woman.', 'Maria Stuart. [With portraits.]', 'Briefe an Freunde /', 'Maria Stuart /']", "[1939.0, 1933.0, 1951.0, 1978.0, 1962.0]","['London,', 'London, ', 'Frankfurt am Main, ', nan, nan]","['eng', 'eng', 'ger', '   ', 'und']","[nan, nan, nan, nan, nan]","[nan, nan, nan, nan, nan]",1933.0,1978.0,5
Stephen Birnbaum,"['Birnbaum, Stephen.']", "['United States.']", [1978.0],"['Boston : Houghton-Mifflin,']",['eng'],[nan],[nan],1978.0,1978.0,1
Stephen Citron,"['Citron, Stephen.']", "['Songwriting a complete guide to the craft']", [1985.0],['London Hodder & Stoughton'],['eng'],"['Music, Popular (Songs, etc.)']",['Bibliography: p325-327. - Includes index'],1985.0,1985.0,1
Stephen Dobyns,"['Dobyns, Stephen,1941-']", "['Velocities : new & selected poems /']", [1996.0],"['Newcastle upon Tyne : Bloodaxe,']",['eng'],[nan],"['Originally published: New York : Viking, 1994']",1996.0,1996.0,1
Stephen Foster,"['Foster, Stephen.']", "['Physics questions for assessment at 16+']", [1982.0],['Cambridge Cambridge University Press'],['eng'],['Physics'],['Originally published: 1982?'],1982.0,1982.0,1
Stephen Graham,"['Graham, Stephen,1884-']", "['Part of the wonderful scene. An autobiography. [With plates, including portraits.]']", [1964.0],"['London, ']",['eng'],[nan],[nan],1964.0,1964.0,1
Stephen Hunter,"['Hunter, Stephen,1946-', 'Hunter, Stephen.']", '[\'The master sniper\', "Cork\'s built heritage /"]', "[1981.0, 2001.0]","['London Pan', 'Cork : Platform Publications,']","['eng', 'eng']","[nan, 'Historic buildings']","['Originally published: New York : Morrow ; London : Heinemann, 1980', 'Cover title.']",1981.0,2001.0,2
Steve Allen,"['Allen, Steve.']", "['Thompsons : a personal history of the firm and its founder /']", [2012.0],"['Pontypool : Merlin Press,']",['eng'],['Lawyers'],[nan],2012.0,2012.0,1
Steven Knight,"['Knight, Steven,1959-']", "['The movie house /']", [1994.0],"['London : Penguin,']",['eng'],[nan],[nan],1994.0,1994.0,1
Stuart Gordon,"['Gordon, Stuart,1947-']", "['One-eye']", [1976.0],['St Albans Panther'],['eng'],['English fiction.'],"['Originally published: New York : Daw Books, 1973 ; London : Sidgwick and Jackson, 1974']",1976.0,1976.0,1
Susan Crosland,"['Crosland, Susan.']", "['The magnates /']", [1994.0],"['London : Penguin,']",['eng'],[nan],"['Originally published: London : Orion, 1994']",1994.0,1994.0,1
Susan L. Taylor,"['Taylor, Susan L.']", "['Lessons in living /']", [1995.0],"['London : Angela Royal Pub.,']",['eng'],[nan],[nan],1995.0,1995.0,1
Susan Sontag,"['Sontag, Susan,1933-2004.']", "['AIDS and its metaphors']", [1989.0],['Harmondsworth Penguin'],['eng'],['AIDS (Disease)'],"['Originally published: London : Allen Lane, 1989']",1989.0,1989.0,1
Suzanne Somers,"['Somers, Suzanne.']", "['A serpent in his way.']", [1907.0],"['London, ']",['eng'],[nan],[nan],1907.0,1907.0,1
Sydney Box,"['Box, Sydney,1907-', 'Box, Sydney,1907-']", "['Home from home. A comedy in three acts.', 'One-act plays for players /']", "[1941.0, 1936.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","['Joint authors: Muriel Box and Sydney Box.', nan]",1936.0,1941.0,2
Sylvester Stallone,"['Stallone, Sylvester.']", "['Paradise alley /']", [1978.0],['London W.H. Allen'],['eng'],['English fiction.'],"['Originally published: New York : Putnams, 1977']",1978.0,1978.0,1
T. S. Eliot,"['Eliot, T. S.(Thomas Stearns),1888-1965.', 'Eliot, T. S.(Thomas Stearns),1888-1965.', 'Eliot, T. S.(Thomas Stearns),1888-1965.']", "['Little Gidding /', 'On poetry. An address ... on the occasion of the twenty-fifth anniversary of Concord Academy.', 'On poetry and poets']", "[1943.0, 1947.0, 1969.0]","['London : Faber and Faber,', 'Concord, Mass., ', 'London Faber']","['eng', 'eng', 'eng']","[nan, nan, 'Poetry.']","[nan, nan, 'Originally published (B57-13169) 1957']",1943.0,1969.0,3
Tapping Reeve,"['Reeve, Tapping.']", "['The law of baron and femme; of parent and child; of guardian and ward; of master and servant; and of the powers of the Courts of Chancery. With an essay on the terms heir, heirs, &c. &c.']", [1846.0],"['Burlington, ']",['eng'],[nan],[nan],1846.0,1846.0,1
Tennessee Williams,"['Williams, Tennessee,1911-1983.']", "['The theatre /']", [1971.0],"['New York : New Directions,']",['eng'],['American drama.'],[nan],1971.0,1971.0,1
Terrance Dicks,"['Dicks, Terrance.', 'Dicks, Terrance.', 'Dicks, Terrance.']", "['Doctor Who : the ambassadors of death : based on the BBC television series by David Whitaker by arrangement with the British Broadcasting Corporation /', 'The big match /', 'Goliath and the buried treasure /']", "[1987.0, 1991.0, 1991.0]","['London : W.H. Allen,', 'London : Piccadilly Press,', 'London : Knight,']","['eng', 'eng', 'eng']","[nan, nan, nan]","[nan, nan, nan]",1987.0,1991.0,3
Terri Windling,"['Windling, Terri.']", "['Good faeries ; [and, Bad faeries] /']", [2004.0],"['London : Pavilion,']",['eng'],['Fairies'],['Texts bound back to back and inverted.'],2004.0,2004.0,1
Thomas Bailey Aldrich,"['Aldrich, Thomas Bailey,1836-1907.']", "['The Queen of Sheba.']", [1885.0],['Edinburgh : David Douglas'],['eng'],[nan],[nan],1885.0,1885.0,1
Thomas Bodkin,"['Bodkin, Thomas.']", "['The importance of art to Ireland. A public lecture delivered at Trinity College, Dublin, on the 24th of June, 1935.']", [1935.0],"['Dublin, ']",['eng'],[nan],[nan],1935.0,1935.0,1
